Commodity_Group ,Commodity_Name ,Measure_Names,Mode ,Port_Border,Port_Coast,Port_District,Port_Name,Port_State  ,Select_Date,Trade_Type,Year_of_Trade,No.,Measure_Values,Partner
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Great Lakes,Duluth Customs District ,All,All,January,Export,2019,20,13869034,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Duluth Customs District ,All,All,January,Export,2019,21,1639,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Duluth Customs District ,All,All,January,Export,2019,21,152183,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Continental,El Paso Customs District ,All,All,January,Export,2019,22,23597,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Continental,El Paso Customs District ,All,All,January,Export,2019,22,4026407725,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,El Paso Customs District ,All,All,January,Export,2019,23,48,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,El Paso Customs District ,All,All,January,Export,2019,23,16074,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Great Falls Customs District ,All,All,January,Export,2019,24,96707,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Great Falls Customs District ,All,All,January,Export,2019,24,761433663,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Continental,Great Falls Customs District ,All,All,January,Export,2019,25,535,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Continental,Great Falls Customs District ,All,All,January,Export,2019,25,157410,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Great Falls Customs District ,All,All,January,Export,2019,26,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Great Falls Customs District ,All,All,January,Export,2019,26,127261,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,Honolulu Customs District ,All,All,January,Export,2019,27,73521,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,Honolulu Customs District ,All,All,January,Export,2019,27,486646,All Partners (Canada and Mexico)
