Customer City,Customer Name
DENVER,DENVER CITY & COUNTY OF
DENVER,DENVER POLICE DEPT.
DENVER,EFI-POLYMERS
DENVER,GOBI ANALYTICAL
DENVER,LEPRINO FOODS COMPANY
DENVER,LIBERTY OILFIELD SERVICES
DENVER,MARY'S MANAGEMENT
DENVER,METRO WATER RECLAMATION DIST
DENVER,METROPOLITAN STATE COLLEGE OF DENVE
DENVER,NATIONAL JEWISH MEDICAL & RSCH CTR
DENVER,SGS NORTH AMERICA INC
DENVER,SYLVIN TECHNOLOGIES INC
DENVER,THE WESTERN SUGAR COOPERATIVE
DENVER,UNIVERSITY OF COLORADO
DENVER,UNIVERSITY OF DENVER
DENVER,USGS WRD
DENVILLE,RICONPHARMA LLC
DENVILLE,SCIMEDX CORPORATION
DEPEW,NIAGARA REFINING LLC
DERRY,"GRANITE STATE ANALYTICAL, INC"
DES MOINES,CITY OF DES MOINES
DES MOINES,DES MOINES WATER WORKS
DES MOINES,EUROFINS SCIENTIFIC INC
DES MOINES,IOWA DCI CRIME LAB
DES MOINES,KEMIN INDUSTRIES INC
DES PLAINES,UOP LLC
DETROIT,AMERICAN AXLE & MANUFACTURING
DETROIT,"ASTERAND, INC"
DETROIT,CHILDRENS HOSPITAL OF MICHIGAN
DETROIT,CHRYSLER CORP
DETROIT,CITY OF DETROIT
DETROIT,DETROIT CITY OF
DETROIT,DETROIT DIESEL CORP
DETROIT,DETROIT EDISON CO
DETROIT,DETROIT WATER  SEWERAGE
DETROIT,GREAT LAKES WATER AUTHORITY
DETROIT,HENRY FORD HEALTH SYSTEM
DETROIT,HENRY FORD HEALTH SYSTEMS
DETROIT,THE DETROIT MEDICAL CENTER
DETROIT,WAYNE STATE UNIVERSITY
DEVAULT,AUXILIUM PHARMACEUTICALS INC
DIAMOND BAR,SOUTH COAST AQMD
DICKINSON,CALUMET PENRECO LLC
DICKSON,NEMAK USA INC
DICKSON,ZOCHEM LLC
DIXON,AXENIA BIOLOGIX LLC
DIXON,UPM RAFLATAC INC
DOBBS FERRY,AKZO NOBEL FUNCTIONAL CHEMICALS LLC
DODGE CITY,SERV TECH  INC
DODGEVILLE,QUALITY LIQUID FEEDS INC
DORVAL,GREEN CROSS BIOTHERAPEUTICS INC
DOVER,DELAWARE STATE UNIVERSITY
DOVER,HOWMET CORPORATION/ALLOY DIV
DOVER,PLAYTEX MANUFACTURING INC
DOVER,THORNE RESEARCH
DOWNERS GROVE,ADVOCATE HEALTH CARE
DOWNEY,UNIVERSAL MOLDING CO.
DOYLESTOWN,DELAWARE VALLEY UNIVERSITY
DOYLESTOWN,IMMPRONANO SOLUTIONS
DRAPER,EDWARDS LIFESCIENCES LLC
DRUMMOND ISLAND,DIR BAYSIDE LLC
DUARTE,CITY OF HOPE
DUBLIN,DUBLIN SAN RAMON SERVICES DISTRICT
DUBLIN,NESTLE USA INC
DUBLIN,"NESTLE, INC."
DUBLIN,QUANTUM GLOBAL DBA CHEMTRACE/ QUANT
DUDLEY,GENTEX OPTICS INC
DULLES,US POSTAL SERVICE
DULUTH,ALCON LABORATORIES INC
DULUTH,MINNESOTA POWER
DULUTH,MVA SCIENTIFIC CONSULTANTS
DUNCAN,CRYOVAC NORTH AMERICA
DUNCAN,DUNCAN RECYCLING AND REFINING LLC
DUNCAN,HALLIBURTON ENERGY SERVICES
DUNDEE,HOLCIM INC
DUPO,STERLING PHARMACEUTICALS
DURHAM,ALMAC DIAGNOSTICS INC
DURHAM,AVISTA PHARMA SOLUTIONS INC
DURHAM,BIOAGILYTIX LABS LLC
DURHAM,BIOIVT
DURHAM,BIOMONTR
DURHAM,CHIMERIX INC
DURHAM,CITY OF DURHAM
DURHAM,CORMETECH INC
DURHAM,CREE INC
DURHAM,CUSTOM GAS SOLUTIONS  LLC
DURHAM,DUKE UNIVERSITY
DURHAM,DUKE UNIVERSITY ACCOUNTS PAYABLE
DURHAM,ENTHALPY ANALYTICAL INC
DURHAM,GLAXOSMITHKLINE
DURHAM,HYPERBRANCH MEDICAL TECHNOLOGY INC
DURHAM,KBI BIOPHARMA INC
DURHAM,LABORATORY CORPORATION OF AMERICA
DURHAM,LIGGETT GROUP INC
DURHAM,PRECISION BIOSCIENCES INC
DURHAM,RECIPHARM LABORATORIES INC
DURHAM,REICHHOLD LLC
DURHAM,SYNGENTA BIOTECHNOLOGY INC
DURHAM,TELEFLEX INC.
DURHAM,UNIVERSITY OF NEW HAMPSHIRE
DURHAM,US EPA (DO NOT USE- USE 1039594)
DURHAM,VAST THERAPEUTICS INC
DURKEE,ASH GROVE CEMENT COMPANY
DYERSBURG,HEXPOL COMPOUNDING/BURTON RUBBER PR
EAGAN,GOPHER RESOURCE CORP
EAGAN,"SARENTIS OPHTHALMICS, INC."
EAGLE GROVE,AG PROCESSING INC
EAGLEVILLE,SKF USA INC
EARTH CITY,EAGLE PACKAGING INC
EARTH CITY,POLYAD SERVICES
EASLEY,ORTEC INC
EAST ALTON,OLIN CORPORATION
EAST BRUNSWICK,ELKEM SILICONES USA CORP
EAST CANTON,ALL AMERICAN SCALES & CALIBRATION I
EAST CHICAGO,ARCELORMITTAL INDIANA HARBOR INC
EAST CHICAGO,SAFETY KLEEN
EAST CHINA,DTE ENERGY
EAST GRANBY,RSCC WIRE AND CABLE LLC
EAST GREENVILLE,BLOMMER CHOCOLATE CO
EAST HAMPTON,AMERICAN DISTILLING & MFG INC
EAST HANOVER,NOVARTIS INST FOR BIOMEDICAL RSCH
EAST HANOVER,NOVARTIS PHARMACEUTICALS
EAST HARTFORD,ALERT SCIENTIFIC INC
EAST HARTFORD,PRATT AND WHITNEY
EAST HARTFORD,UNITED TECHNOLOGIES
EAST LANSING,MICHIGAN STATE UNIVERSITY
EAST LIVERPOOL,HERITAGE THERMAL SERVICES
EAST LIVERPOOL,"HERITAGE WTI, INC"
EAST RYEGATE,KIMBERLY CLARK
EAST SAINT LOUIS,ELEMENTIS NORTH AMERICA SERVI
EAST SYRACUSE,#USE 1181275 SGS GALSON LABS INC
EAST SYRACUSE,LIFE SCIENCE LABORATORIES INC
EAST WEYMOUTH,TECHNIP
EAST WINDSOR,EAST WINDSOR MUNICIPAL UTILITIES AU
EAST WINDSOR,FORDOZ PHARMA CORP
EAST WINDSOR,"HOVIONE,LLC"
EAST WINDSOR,NOVITIUM PHARMA LLC
EAST WINDSOR,SIPKA LABS
EAST WINDSOR,SPECIALTY PRINTING LLC
EASTON,CRAYOLA
EASTON,WILDLIFE INTERNATIONAL
EASTPORT,CORNELL UNIVERSITY
EATON,NEATON AUTO PRODUCTS
EATONTOWN,HIKMA PHARMACEUTICALS PLC
EDEN PRAIRIE,"HARLAND MEDICAL SYSTEMS, INC"
EDEN PRAIRIE,MILK SPECIALTIES GLOBAL
EDEN PRAIRIE,ROSEMOUNT INC
EDEN PRAIRIE,STRATASYS INC
EDGEWOOD,NUTRAMAX LABORATORIES INC
EDINBURG,TEXAS PLANT & SOIL
EDISON,CRODA INC
EDISON,MIDDLESEX WATER COMPANY
EDISON,REVLON RESEARCH CENTER
EDMONTON,UNIVERSITY OF ALBERTA
EGLIN AFB,EGLIN AIR FORCE BASE
EL CAJON,CUYAMACA COLLEGE
EL CAJON,GROSSMONT CUYAMACA COM COLLEGE
EL CAJON,GROSSMONT CUYAMACA COMMUNITY COLLEG
EL DORADO,EL DORADO CHEMICAL CO
EL DORADO,GREAT LAKES CHEMICAL CORPORATION
EL DORADO,HOLLY FRONTIER EL DORADO REFINING L
EL DORADO HILLS,RIPPEY CORPORATION
EL MONTE,CALIFORNIA AIR RESOURCES BOARD
EL PASO,# use 1273183  (SUEZ) GE POWER & WA
EL PASO,#use 1034615 UNIV OF TEXAS AT EL PA
EL PASO,#use 1273183 (SUEZ) GE WATER & PROC
EL PASO,#USE 1273183 GE MOBILE WATER
EL PASO,ALLEGHENY LUDLUM
EL PASO,BORDER STEEL INC
EL PASO,CARDINAL HEALTH
EL PASO,EL PASO WATER UTILITIES
EL PASO,FREEPORT-MCMORAN COPPER & GOLD
EL PASO,HONEYWELL INTERNATIONAL INC
EL PASO,KINDER MORGAN INC
EL PASO,MICHELIN NORTH AMERICA INC
EL PASO,PHELPS DODGE CORPORATION
EL PASO,SCHLAGE LOCK CO LLC
EL PASO,UNIVERSITY OF TEXAS AT EL PASO
EL PASO,UNIVERSITY OF TEXAS EL PASO
EL SEGUNDO,BEYOND MEAT
EL SEGUNDO,INFINEON TECHNOLOGIES AMERICAS CORP
EL SEGUNDO,NORTHROP GRUMMAN NAT'L SECURITY SYS
EL SEGUNDO,TRI-UNION SEAFOODS LLC
ELGIN,CRYSTAL CLEAN
ELGIN,MICROTRACE LLC
ELIZABETH,ACTAVIS ELIZABETH LLC
ELIZABETH,NOBIL PETROLEUM TESTING INC
ELK GROVE VILLAGE,EBCO INC
ELK GROVE VILLAGE,MATERIAL SCIENCES CORP  (HQ)
ELKHART,AGDIA INC
ELKHART,FLEX FORM TECHNOLOGIES
ELKHART,KEM KREST
ELKHART,"KIBBECHEM, INC"
ELKHART,KIK CUSTOM PRODUCTS
ELKHORN,GENEVA LABORATORIES INC
ELKO,BARRICK GOLDSTRIKE MINES INC
ELKTON,COLONIAL METALS INC
ELKTON,LYONDELLBASSELL
ELKTON,TERUMO MEDICAL CORP
ELKTON,WL GORE & ASSOCIATES INC
ELLINGTON,COUNTRY PURE FOODS
ELMA,MOOG INC CORPORATE OFFICE
ELMA,VERTELLUS
ELMWOOD PARK,BIOREFERENCE LABS INC
ELMWOOD PARK,SEALED AIR CORPORATION
ELON COLLEGE,ELON UNIVERSITY
EMERYVILLE,"4D MOLECULAR THERAPEUTICS, INC."
EMERYVILLE,AMYRIS INC
EMERYVILLE,BERKELEY LIGHTS
EMERYVILLE,DIASSESS INC.
EMERYVILLE,EUREKA THERAPEUTICS INCORPORATED
EMERYVILLE,JOINT BIOENERGY INSTITUTE
EMERYVILLE,MICRO ANALYTICAL LABORATORY
EMERYVILLE,NANO PRECISION MEDICAL INC
EMERYVILLE,NEWOMICS INC
EMERYVILLE,NOVARTIS VACCINES & DIAGNOSTICS
EMERYVILLE,RADIANT GENOMICS
EMERYVILLE,RIPPLE FOODS
EMERYVILLE,ZYMERGEN INC
EMPORIA,EMPORIA STATE UNIVERSITY
ENCINO,CALGON CORPORATION
ENDICOTT,I3 ELECTRONICS INC
ENDICOTT,IBM GLOBAL SERVICES
ENFIELD,YANKEE CASTING CO INC
ENGLEWOOD,ARRAKIS INC
ENGLEWOOD,COLORADO QUALITY PRODUCTS
ENGLEWOOD,DERMEX PHARMACEUTICAL INC
ENGLEWOOD,ENGLEWOOD CITY OF
ENGLEWOOD CLIFFS,UNILEVER US INC   (HQ)
ENID,CENTRAL MACHINE AND TOOL
ENOREE,GCP APPLIED TECHNOLOGIES
ERIE,ERIEZ MANUFACTURING COMPANY
ERIE,MODERN INDUSTRIES INC
ERIE,URICK FOUNDRY
ERLANGER,TOYOTA MOTOR ENGINEERING &
ERLANGER,WILD FLAVORS INC
ERWIN,NUCLEAR FUEL SERVICES INC
ESSEX JUNCTION,HAEMATOLOGIC TECHNOLOGIES INC
ETOBICOKE,"ST. JOSEPH'S HEALTHCARE HAMILTON, A"
ETTERS,FCI USA INC
EUGENE,BENCHMARK INTERNATIONAL LLC
EUGENE,CITY OF EUGENE
EUGENE,MOUNTAIN ROSE HERBS
EUGENE,UNIVERSITY OF OREGON
EVADALE,WESTROCK
EVANSTON,NORTHWESTERN UNIVERSITY
EVANSVILLE,BERRY PLASTICS / KERR GROUP INC
EVANSVILLE,ORSANCO/EVANSVILLE DRINKING WATER U
EVANSVILLE,RED SPOT PAINT & VARNISH CO INC
EVANSVILLE,"SIGECO DBA/VECTREN POWER SUPPLY, IN"
EXPORT,METALOR ELECTROTECHNICS USA CORP
EXTON,ABSORPTION SYSTEMS
EXTON,"AGC CHEMICALS AMERICAS, INC."
EXTON,DSM BIOMEDICAL
EXTON,FRONTAGE LABORATORIES INC
EXTON,MORPHOTEK INC
EXTON,WEST PHARMACEUTICAL SERVICES INC
FAIR LAWN,Fisher Scientific Chemical Division
FAIRBANKS,UNIVERSITY OF ALASKA
FAIRBORN,SCIENCE APPLICATIONS INTL CORP
FAIRFAX,EXXONMOBIL RESEARCH & ENGINEERING C
FAIRFAX,FAIRFAX WATER
FAIRFAX,GEORGE MASON UNIVERSITY
FAIRFAX,"HEALTHY BUILDINGS, INC"
FAIRFIELD,AMNEAL PHARMACEUTICALS LLC
FAIRFIELD,AQUA PRO-TECH LABS
FAIRFIELD,CLOROX PRODUCTS INC
FAIRFIELD,CONSUMER PRODUCT TESTING CO
FAIRFIELD,COUNTY OF SOLANO
FAIRFIELD,GARDEN STATE NUTRITIONAL
FAIRFIELD,INTERTEK TESTING SERVICES NA INC
FAIRFIELD,LEADING PHARMA LLC
FAIRFIELD,SGS US TESTING COMPANY INC
FAIRFIELD,TEDIA COMPANY
FAIRHAVEN,NYE LUBRICANTS INC
FALLBROOK,AXELGAARD MANUFACTURING CO LTD
FARGO,ALDEVRON
FARGO,CARGILL FINANCIAL SERV CTR
FARGO,JOHN DEERE ELECTRONIC SOLUTIONS INC
FARGO,NORTH DAKOTA STATE UNIVERSITY
FARGO,SWANSON HEALTH PRODUCTS
FARLEY,CLEARY MYERS CONSULTING (CMC)
FARMINGDALE,BEL-RAY COMPANY
FARMINGDALE,TIME-CAP LABS INC
FARMINGTON,ENVIROTECH INCORPORATED
FARMINGTON,SRG GLOBAL
FARMINGTON,UNIVERSITY OF CONNECTICUT
FARMINGTON HILLS,HARMAN BECKER AUTOMOTIVE SYSTEMS
FARMINGTON HILLS,MAHLE INC ( NA HQ)
FARMINGTON HILLS,MAHLE POWERTRAIN LLC
FARMINGTON HILLS,MICROBIOLOGICAL ASSOCIATES
FARMINGTON HILLS,ZATKOFF SEALS & PACKAGING
FARMINGVILLE,SUFFOLK COUNTY
FARMVILLE,CMP PHARMA INC
FARMVILLE,LONGWOOD UNIVERSITY
FAYETTEVILLE,ELKHART PRODUCTS
FAYETTEVILLE,UNIVERSITY OF ARKANSAS
FELTON,PACIFIC COAST PRODUCTS LLC
FENNIMORE,SPECTRUM BRANDS
FERNDALE,FERNDALE LABORATORIES INC
FERNDALE,GAGE PRODUCTS
FISHERS,BANGS LABORATORIES INC
FLAGSTAFF,NORTHERN ARIZONA UNIVERSITY
FLANDERS,LAMTEC CORPORATION
FLAT ROCK,BLUE RIDGE COMMUNITY COLLEGE
FLINT,MAHLE
FLINT,SHIVELY BROS INC
FLORENCE,MUBEA INC
FLORENCE,ROCHE CAROLINA INC
FLORHAM PARK,BASF CORPORATION
FLORHAM PARK,VDM METALS USA LLC
FLORHAM PARK,ZOETIS LLC
FLUSHING,NYC DEPT
FLUSHING,NYC DEPT OF ENVIR PROTECTION
FLUSHING,QUEENS COLLEGE OF CUNY
FOLLANSBEE,WHEELING-NISSHIN
FOND DU LAC,MERCURY MARINE
FONTANA,CALIFORNIA STEEL INDUSTRIES INC
FONTANA,JAMES HARDIE BUILDING PRODUCTS
FORDHAM,HFL SPORT SCIENCE LIMITED
FOREMAN,ASH GROVE CEMENT CO
FOREST GROVE,PACIFIC UNIVERSITY OREGON
FORREST,SELIG SEALING PRODUCTS INC.
FORT BELVOIR,FORT BELVOIR
FORT COLLINS,CITY OF FORT COLLINS
FORT COLLINS,COLORADO PARKS & WILDLIFE
FORT COLLINS,COLORADO STATE UNIVERSITY
FORT COLLINS,SERCOM (3P)
FORT COLLINS,TOLMAR INC
FORT DEFIANCE,NAVAJO TRIBAL UTILITY
FORT DETRICK,NATIONAL BIODEFENSE ANALYSIS &
FORT DETRICK,US ARMY CEHR
FORT DETRICK,US ARMY MEDICAL RESEARCH
FORT LAUDERDALE,BROWARD CO SHERIFFS OFFICE
FORT LAUDERDALE,BROWARD COUNTY
FORT LAUDERDALE,BROWARD COUNTY COMMISSIONERS
FORT LAUDERDALE,MAPEI CORPORATION
FORT LAUDERDALE,NOVA SOUTHEASTERN UNIVERSITY
FORT LAUDERDALE,"TRIVIDIA MANUFACTURING SOLUTIONS, I"
FORT LUPTON,GOLDEN ALUMINUM CASTING
FORT MCDOWELL,EXCELSIOR ALCHEMY INC.
FORT MEADE,FORT MEADE/FINANCE & ACCOUNT
FORT MILL,SCHAEFFLER GROUP USA INC
FORT MILL,WIKOFF COLOR CORPORATION
FORT MYERS,ALGENOL BIOTECH LLC
FORT PIERCE,HARBOR BRANCH OCEANOGRAPHIC
FORT PIERCE,ST.LUCIE COUNTY SHERIFF'S OFFICE
FORT PIERCE,US HORTICULTURAL RESERCH LAB
FORT SAM HOUSTON,BROOKE ARMY MEDICAL CENTER
FORT THOMAS,NORTHERN KENTUCKY WATER DISTRICT
FORT WASHINGTON,IMPAX LABORATORIES INC
FORT WASHINGTON,MCNEIL PPC INC
FORT WAYNE,A&L GREAT LAKES LABORATORIES INC
FORT WAYNE,CITY OF FORT WAYNE
FORT WAYNE,GENERAL ELECTRIC
FORT WAYNE,OMNISOURCE CORPORATION
FORT WAYNE,TRELLEBORG SEALING
FORT WAYNE,VALBRUNA SLATER STAINLESS INC
FORT WORTH,CARDINAL HEALTH
FORT WORTH,CITY OF FORT WORTH
FORT WORTH,LHOIST NORTH AMERICA
FORT WORTH,MONARCH PCM LLC
FORT WORTH,SOVEREIGN PHARMACEUTICALS
FORT WORTH,SOVEREIGN PHARMACEUTICALS INC
FORT WORTH,TARRANT COUNTY
FORT WORTH,TEXAS REFINERY CORPORATION
FORT WORTH,TOKAI CARBON CB LTD
FORT WORTH,UNIV NORTH TEXAS HEALTH SCIENCE CTR
FORT WORTH,ZS PHARMA INC
FOSTER CITY,*USE IC9022* APPLIED BIOSYSTEMS GRO
FOSTER CITY,GILEAD SCIENCES INC
FOSTER CITY,LIFE TECHNOLOGIES CORPORATION
FOUNTAIN VALLEY,ORANGE COUNTY SANITATION DISTRICT
FOUNTAIN VALLEY,ORANGE COUNTY WATER DISTRICT
FRAMINGHAM,BERG DIAGNOSTICS
FRAMINGHAM,BOSE CORP
FRAMINGHAM,LFB USA INC
FRANKENMUTH,CITY OF FRANKENMUTH
FRANKFORT,COMMONWEALTH OF KENTUCKY
FRANKFORT,SMELTZER ORCHARD CO LLC
FRANKLIN,COMPREHENSIVE PAIN SPECIALISTS
FRANKLIN,MARS PETCARE
FRANKLIN LAKES,BECTON DICKINSON & COMPANY
FRANKLINTON,NOVOZYMES NORTH AMERICA INC
FRAZER,CEPHALON INC
FREDERICK,LEIDOS BIOMEDICAL RESEARCH INC
FREDERICK,NEWBRIDGE SPINE & PAIN CENTER
FREDERICK,PATRIOT MEDICAL LABORATORIES LLC
FREDERICK,POOCHON SCIENTIFIC
FREDERICK,PRECISION BIOSERVICES
FREDERICK,SAIC-FREDERICK INC
FREDERICKSBURG,UNIVERSITY OF MARY WASHINGTON
FREEBURG,"#USE 1037203 STANDARD LABORATORIES,"
FREEHOLD,INTERNATIONAL VITAMIN CORPORATION
FREEPORT,GLADIEUX METALS RECYCLING LLC
FREEPORT,INEOS AMERICA LLC
FREEPORT,ROHM & HAAS ELECTRONIC MATERIALS
FREMONT,***OBS***  THERMO FISHER SCIENTIFIC
FREMONT,AIR LIQUIDE BALAZS SVCS
FREMONT,ANASPEC INC
FREMONT,ASTERIAS BIOTHERAPEUTICS
FREMONT,BALAZS ANALYTICAL LABORATORY
FREMONT,CHEMTRACE
FREMONT,"GOTION, INC."
FREMONT,LAM RESEARCH CORPORATION
FREMONT,MABPLEX USA INC
FREMONT,SIERRA LOBO INC
FREMONT,STRYKER CORPORATION
FREMONT,THERMO FISHER SCIENTIFIC
FREMONT,WESTERN DIGITAL
FREMONT,"ZP OPCO, INC."
FRESNO,CALIFORNIA STATE UNIVERSITY
FRESNO,CITY OF FRESNO
FRESNO,GOLDEN PACIFIC LABORATORIES
FRESNO,OLAM USA
FRIDAY HARBOR,LUXEL CORPORATION
FRISCO,AYASS BIOSCIENCE INC
FT. WORTH,LOCKHEED FT WORTH COMPANY
FULLERTON,NATIONAL TECHNICAL SYSTEMS
FULLERTON,ST JUDE HOSPITAL & MEDICAL CENTER
FULLERTON,UNITED PHARMA LLC
GAINESVILLE,ASSEMBLY BIOSCIENCES INC
GAINESVILLE,CAPTOZYME INC
GAINESVILLE,PILGRIM'S PRIDE CORPORATION
GAINESVILLE,SHASTA BEVERAGES INC
GAINESVILLE,UNIVERSITY OF FLORIDA
GAITHERSBURG,ELANCO-TERRE HAUTE (CHEMGEN CORP)
GAITHERSBURG,EXELEAD INC
GAITHERSBURG,GE HEALTHCARE
GAITHERSBURG,LEIDOS INNOVATIONS INC
GAITHERSBURG,MEDIMMUNE LLC
GAITHERSBURG,NIST/NAT INST STNDS & TECH
GAITHERSBURG,NOVAVAX
GALENA,EVONIK JAYHAWK FINE CHEMICALS
GALENA PARK,DIXIE SERVICES
GALENA PARK,TEXMARK CHEMICALS INC
GALLATIN,HOEGANAES CORPORATION
GALVA,BRANCHFIELD CASTING
GALVESTON,TEXAS UNIV OF MEDICAL BRANCH
GALVESTON,UNIVERSITY OF TEXAS MEDICAL BRANCH
GARDEN CITY,AMETEK THERMAL SYSTEMS
GARDEN GROVE,EUROFINS CALSCIENCE INC
GARDEN GROVE,SAINT GOBAIN PERFORMANCE PLASTICS
GARDENA,SPECTRUM CHEMICAL MFG CORP
GARLAND,"BIOCHROMA ANALYTICAL LABS, LLC"
GARLAND,NATURICH LABS INC
GARLAND,SHERWIN WILLIAMS COMPANY
GARY,INDIANA SUGARS INC
GARYVILLE,PINNACLE POLYMERS COMPANY
GASTONIA,CHOICE USA BEVERAGE INC
GASTONIA,CITY OF GASTONIA
GEISMAR,#USE 1034736  UNIVAR USA INC
GEISMAR,"ATHLON SOLUTIONS,LLC"
GEISMAR,NUTRIEN
GEISMAR,PCS NITROGEN FERTILIZER
GENEVA,CLC LUBRICANTS
GENEVA,SUBURBAN LABORATORIES INC
GEORGETOWN,ARCELOR MITTAL GEORGETOWN INC
GEORGETOWN,"DISPERSOL TECHNOLOGIES, LLC"
GEORGETOWN,LIBERTY STEEL GEORGETOWN
GEORGETOWN,TOYOTA MOTOR MFG INC
GEORGIA,PERRIGO COMPANY
GERMANTOWN,ALCAMI CORPORATION
GERMANTOWN,ELLSWORTH ADHESIVE SYSTEMS
GERMANTOWN,MGS GROUP NORTH AMERICA INC
GETTYSBURG,GETTYSBURG COLLEGE
GEYSERVILLE,SONOMACEUTICALS LLC
GHENT,KU SYSTEM LAB
GILBERT,"HELIAE DEVELOPMENT, LLC"
GILBERT,HERBALLY YOURS INC
GILSUM,WS BADGER COMPANY
GLEN ALLEN,CHEMTREAT INC
GLEN BURNIE,CRISTAL USA INC
GLEN HAVEN,COLORADO STATE UNIVERSITY
GLEN ROCK,ADHESIVES RESEARCH INC
GLEN ROSE,LUMINANT GENERATION COMPANY LLC
GLENARDEN,PRINCE GEORGES COMMUNITY COLLEGE
GLENDALE,BAXTER HYLAND IMMUNO
GLENDALE,GCC OF AMERICA
GLENDALE,MAGELLAN AEROSPACE GLENDALE INC
GLENDALE,MIDWESTERN UNIVERSITY
GLENDALE,PERSON AND COVEY
GLENDALE,PPG AEROSPACE
GLENDORA,CALPORTLAND COMPANY
GLENVIEW,ITW-ILLINOIS TOOLWORKS INC (HQ)
GLENWOOD,DOBER CHEMICAL CORP
GLOUCESTER CITY,AMSPEC
GLOUCESTER POINT,VIRGINIA INST/MARINE SCI
GOLDEN,ARMI
GOLDEN,COLORADO SCHOOL OF MINES
GOLDEN,CONOCO PHILLIPS (DO NOT USE)
GOLDEN,COORSTEK
GOLDEN,ENVIRONMENTAL RESOURCE ASSOCIATES
GOLDEN,JEFFERSON COUNTY
GOLDEN,MILLERCOORS LLC
GOLDEN,NATIONAL RENEWABLE ENERGY LAB
GOLDEN,SURTEK INC
GOLDEN VALLEY,LUBRICATION TECHNOLOGIES INC
GOLETA,LOCKHEED MARTIN
GOOSE CREEK,ALUMAX SOUTH CAROLINA/DIV OF ALCOA
GOOSE CREEK,JW ALUMINUM COMPANY
GORDONSVILLE,KLOCKNER PENTAPLAST OF AMERICA
GORHAM,UNIVERSITY OF SOUTHERN MAINE
GOSHEN,BLASER SWISSLUBE INC
GRAFTON,AMRI CEDARBURG
GRAFTON,REX HIDE-DYNA MIX
GRAHAM,CITY OF GRAHAM WWTP
GRAMERCY,NORANDA ALUMINA LLC
GRAND FORKS,MINNKOTA POWER COOPERATIVE INC
GRAND FORKS,UNIVERSITY OF NORTH DAKOTA
GRAND HAVEN,SPI PHARMA GROUP
GRAND ISLAND,ISLECHEM LLC
GRAND JUNCTION,CAPCO INC
GRAND JUNCTION,NAVARRO RESEARCH & ENGINEERING
GRAND PRAIRIE,ANALYTICAL FOOD LABORATORIES
GRAND RAPIDS,BETZ INDUSTRIES
GRAND RAPIDS,CASCADE ENGINEERING INC
GRAND RAPIDS,CORIUM INTERNATIONAL INC
GRAND RAPIDS,COUNTY OF KENT HEALTH DEPT
GRAND RAPIDS,GRAND RIVER ASEPTIC MANUFACTURING
GRAND RAPIDS,HAVILAND PRODUCTS CO
GRAND RAPIDS,LACKS ENTERPRISES INC
GRAND RAPIDS,MICHIGAN BLOOD
GRAND RAPIDS,OLIVER-TOLAS HEALTHCARE PKG
GRAND RAPIDS,PREIN & NEWHOF
GRAND RAPIDS,"RANIR, LLC"
GRAND RAPIDS,SPECTRUM HEALTH
GRAND RAPIDS,VAN ANDEL RESEARCH INSTITUTE
GRAND TERRACE,CLINICAL LABS OF SAN BERNADINO
GRANTHAM,MESSIAH COLLEGE
GRANTS PASS,FLORA RESEARCH LABORATORIES LLC
GREAT BARRINGTON,BERKSHIRE CORPORATION
GREELEY,GREELEY CRIME LAB
GREELEY,LOVELAND PRODUCTS INC
GREEN BAY,**USE 1032392***PROCTER & GAMBLE
GREEN BAY,GREEN BAY PACKAGING
GREEN BAY,NATURE'S WAY
GREEN BAY,UNIVERSITY OF WISCONSIN - GREENBAY
GREEN RIVER,CINER WYOMING LLC
GREEN RIVER,"GENESIS ALKALI, LLC"
GREENBELT,ASRC AEROSPACE CORP
GREENBELT,GODDARD SPACE FLIGHT CENTER
GREENBELT,NASA GODDARD SPACE FLIGHT CENTER
GREENEVILLE,CE MINERALS
GREENEVILLE,JARDEN ZINC PRODUCTS
GREENEVILLE,PREMIUM WATERS INC
GREENFIELD,"ADVANCED PAIN MANAGEMENT, S.C."
GREENFIELD,ELANCO US INC  (HQ)
GREENSBORO,ALBERDINGK BOLEY INC
GREENSBORO,BGF INDUSTRIES INC
GREENSBORO,"ITG BRANDS, LLC"
GREENSBORO,NORTH CAROLINA A&T STATE UNIVERSITY
GREENSBORO,NOVELIS CORPORATION
GREENSBORO,SCIENTIFIC ANALYTICAL INSTITUTE
GREENSBORO,SPECIALTY LLC
GREENSBURG,UNIVERSITY OF PITTSBURGH
GREENVILLE,COUNTY OF GREENVILLE
GREENVILLE,DICASTAL NORTH AMERICA
GREENVILLE,"DSM PHARMACEUTICALS, INC"
GREENVILLE,FURMAN UNIVERSITY
GREENVILLE,GREENVILLE UTILITIES COMM
GREENVILLE,KEMET ELECTRONICS
GREENVILLE,MAYNE PHARMA
GREENVILLE,"NUTRICIA MANUFACTURING,USA"
GREENVILLE,PATHEON API MANUFACTURING INC.
GREENVILLE,PATHEON MANUFACTURING SERVICES LLC
GREENVILLE,PHARMACEUTICAL ASSOCIATES INC
GREENVILLE,PURILOGICS LLC
GREENVILLE,ROGERS CALLCOTT ENGINEERS INC.
GREENVILLE,THE REYNOLDS COMPANY
GREENWOOD,D and D LABORATORY LLC
GREENWOOD,GREENWOOD GENETIC CENTER
GREENWOOD VILLAGE,NEWMONT USA LIMITED
GREENWOOD VILLAGE,WHEEL PROS LLC
