"North American Cruises,  January 1, 2004 - March 31, 2012",,,,,,,,,,,
Cruise Line,Vessel Name,Sail Date,Departure Port,Destination,Nights,Passengers,Normal Capacity,Month,Quarter,Year,Passengers Nights
Carnival Cruise Line,CARNIVAL VICTORY,2/29/2004,Miami,Western Caribbean,7,"2,957","2,758",2,1,2004,"20,699"
Princess Cruises,GRAND PRINCESS,2/29/2004,Fort Lauderdale,Western Caribbean,7,"2,734","2,600",2,1,2004,"19,138"
Princess Cruises,DAWN PRINCESS,2/29/2004,San Juan,Southern Caribbean,7,"1,885","1,950",2,1,2004,"13,195"
Disney Cruise Line,DISNEY WONDER,2/29/2004,Port Canaveral,Bahamas,4,"2,686","1,754",2,1,2004,"10,744"
Norwegian Cruise Line,NORWEGIAN DREAM,2/29/2004,New Orleans   ,Western Caribbean,7,"1,744","1,748",2,1,2004,"12,208"
Norwegian Cruise Line,NORWEGIAN SKY,2/29/2004,San Juan   ,Southern Caribbean,7,"1,958","2,002",2,1,2004,"13,706"
Carnival Cruise Line,CARNIVAL ELATION,2/29/2004,Galveston,Western Caribbean,7,"2,126","2,052",2,1,2004,"14,882"
Carnival Cruise Line,CARNIVAL CONQUEST,2/29/2004,New Orleans,Western Caribbean,7,"3,147","2,974",2,1,2004,"22,029"
Norwegian Cruise Line,NORWEGIAN STAR,2/29/2004,Honolulu    ,Hawaii,7,"2,294","2,240",2,1,2004,"16,058"
Carnival Cruise Line,CARNIVAL PARADISE,2/29/2004,Miami  ,Eastern Caribbean,7,"2,227","2,052",2,1,2004,"15,589"
Carnival Cruise Line,CARNIVAL DESTINY,2/29/2004,San Juan,Southern Caribbean,7,"2,725","2,642",2,1,2004,"19,075"
Holland America Line,OOSTERDAM,2/29/2004,Fort Lauderdale,Eastern Caribbean,7,"1,755","1,848",2,1,2004,"12,285"
Celebrity Cruise Line,CELEBRITY MILLENNIUM,2/29/2004,Fort Lauderdale,Eastern Caribbean,7,"2,108","1,950",2,1,2004,"14,756"
Royal Caribbean International,RADIANCE OF THE SEAS,2/29/2004,Fort Lauderdale,Eastern Caribbean,7,"2,086","2,100",2,1,2004,"14,602"
Royal Caribbean International,VISION OF THE SEAS,2/29/2004,Los Angeles   ,Mexico (Pacific),7,"2,077","2,000",2,1,2004,"14,539"
Royal Caribbean International,RHAPSODY OF THE SEAS,2/29/2004,Galveston   ,Western Caribbean,7,"2,095","2,000",2,1,2004,"14,665"
SeaDream Yacht Club,SEADREAM I,2/29/2004,Charlotte Amalie,Southern Caribbean,3,102,110,2,1,2004,306
Royal Caribbean International,MARINER OF THE SEAS,2/29/2004,Port Canaveral           ,Eastern Caribbean,7,"3,270","3,114",2,1,2004,"22,890"
Royal Caribbean International,VOYAGER OF THE SEAS,2/29/2004,Miami  ,Western Caribbean,7,"3,216","3,114",2,1,2004,"22,512"
Windstar Cruises,WIND SURF,2/29/2004,Charlotte Amalie,Eastern Caribbean,7,257,308,2,1,2004,"1,799"
Royal Caribbean International,MAJESTY OF THE SEAS,3/1/2004,Miami                ,Bahamas,4,"2,390","2,354",3,1,2004,"9,560"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,3/1/2004,Fort Lauderdale      ,Western Caribbean,5,"2,082","2,250",3,1,2004,"10,410"
Carnival Cruise Line,CARNIVAL SENSATION,3/1/2004,Tampa                ,Western Caribbean,5,"2,156","2,052",3,1,2004,"10,780"
Carnival Cruise Line,CARNIVAL ECSTASY,3/1/2004,Long Beach,Mexico (Pacific),4,"2,138","2,052",3,1,2004,"8,552"
Holland America Line,STATENDAM,3/1/2004,Honolulu          ,Hawaii,9,"1,236","1,266",3,1,2004,"11,124"
Celebrity Cruise Line,HORIZON,3/1/2004,Tampa                ,Eastern Caribbean,11,"1,313","1,354",3,1,2004,"14,443"
Carnival Cruise Line,CARNIVAL IMAGINATION,3/1/2004,Miami                ,Western Caribbean,5,"2,145","2,052",3,1,2004,"10,725"
Celebrity Cruise Line,CELEBRITY MERCURY,3/1/2004,San Diego           ,Mexico (Pacific),11,"1,897","1,870",3,1,2004,"20,867"
Carnival Cruise Line,CARNIVAL FASCINATION,3/1/2004,Miami                ,Western Caribbean,4,"2,221","2,052",3,1,2004,"8,884"
Carnival Cruise Line,CARNIVAL MIRACLE,3/1/2004,Jacksonville         ,Bahamas,5,"2,376","2,124",3,1,2004,"11,880"
Royal Caribbean International,SOVEREIGN OF THE SEAS,3/1/2004,Port Canaveral           ,Bahamas,4,"2,494","2,276",3,1,2004,"9,976"
Royal Caribbean International,MONARCH OF THE SEAS,3/1/2004,Los Angeles         ,Western Caribbean,4,"1,831","2,354",3,1,2004,"7,324"
Royal Caribbean International,SPLENDOUR OF THE SEAS,3/1/2004,Galveston         ,Western Caribbean,5,"1,813","1,804",3,1,2004,"9,065"
Holland America Line,MAASDAM,3/2/2004,Norfolk              ,Southern Caribbean,11,"1,106","1,266",3,1,2004,"12,166"
Regent Seven Seas Cruises,SEVEN SEAS NAVIGATOR,3/2/2004,San Juan,Southern Caribbean,11,215,490,3,1,2004,"2,365"
Princess Cruises,CORAL PRINCESS,3/2/2004,Fort Lauderdale      ,Western Caribbean,10,"1,987","1,974",3,1,2004,"19,870"
Silversea Cruises,SILVER WIND,3/2/2004,San Diego,Mexico (Pacific),7,254,296,3,1,2004,"1,778"
Oceania Cruises,REGATTA,3/3/2004,Miami                ,Southern Caribbean,12,656,684,3,1,2004,"7,872"
Holland America Line,ROTTERDAM,3/3/2004,Fort Lauderdale      ,Western Caribbean,10,"1,172","1,316",3,1,2004,"11,720"
SeaDream Yacht Club,SEADREAM I,3/3/2004,San Juan,Southern Caribbean,4,97,110,3,1,2004,388
Carnival Cruise Line,CARNIVAL LEGEND,3/4/2004,Fort Lauderdale,Western Caribbean,8,"2,192","2,124",3,1,2004,"17,536"
Carnival Cruise Line,CARNIVAL FANTASY,3/4/2004,Port Canaveral           ,Bahamas,3,"2,239","2,052",3,1,2004,"6,717"
Carnival Cruise Line,GRAND CELEBRATION,3/4/2004,Galveston         ,Western Caribbean,4,"1,743","1,486",3,1,2004,"6,972"
Disney Cruise Line,DISNEY WONDER,3/4/2004,Port Canaveral           ,Bahamas,3,"2,692","1,754",3,1,2004,"8,076"
Carnival Cruise Line,HOLIDAY,3/4/2004,New Orleans          ,Western Caribbean,4,"1,505","1,452",3,1,2004,"6,020"
Crystal Cruises,CRYSTAL SYMPHONY,3/4/2004,Fort Lauderdale      ,Trans-Panama Canal,11,493,940,3,1,2004,"5,423"
Celebrity Cruise Line,CELEBRITY GALAXY,3/5/2004,San Juan             ,Southern Caribbean,7,"1,887","1,870",3,1,2004,"13,209"
Celebrity Cruise Line,CELEBRITY SUMMIT,3/5/2004,Fort Lauderdale      ,Southern Caribbean,10,"2,026","1,950",3,1,2004,"20,260"
Carnival Cruise Line,CARNIVAL ECSTASY,3/5/2004,Long Beach,Mexico (Pacific),3,"2,245","2,052",3,1,2004,"6,735"
Princess Cruises,ISLAND PRINCESS,3/5/2004,Fort Lauderdale      ,Western Caribbean,10,"1,981","1,950",3,1,2004,"19,810"
Carnival Cruise Line,CARNIVAL FASCINATION,3/5/2004,Miami                ,Bahamas,3,"2,266","2,052",3,1,2004,"6,798"
Holland America Line,VOLENDAM,3/5/2004,Fort Lauderdale      ,Western Caribbean,10,"1,161","1,400",3,1,2004,"11,610"
Royal Caribbean International,MAJESTY OF THE SEAS,3/5/2004,Miami                ,Bahamas,3,"2,608","2,354",3,1,2004,"7,824"
Royal Caribbean International,MONARCH OF THE SEAS,3/5/2004,Los Angeles         ,Western Caribbean,3,"2,368","2,354",3,1,2004,"7,104"
Royal Caribbean International,SOVEREIGN OF THE SEAS,3/5/2004,Port Canaveral           ,Bahamas,3,"2,471","2,276",3,1,2004,"7,413"
Royal Caribbean International,GRANDEUR OF THE SEAS,3/6/2004,New Orleans          ,Western Caribbean,7,"2,044","1,950",3,1,2004,"14,308"
Holland America Line,VEENDAM,3/6/2004,Tampa                ,Western Caribbean,7,"1,239","1,266",3,1,2004,"8,673"
Carnival Cruise Line,CARNIVAL TRIUMPH,3/6/2004,Miami                ,Western Caribbean,7,"3,039","2,758",3,1,2004,"21,273"
Carnival Cruise Line,CARNIVAL GLORY,3/6/2004,Port Canaveral,Eastern Caribbean,7,"3,249","2,974",3,1,2004,"22,743"
Carnival Cruise Line,JUBILEE,3/6/2004,San Juan             ,Southern Caribbean,7,"1,547","1,486",3,1,2004,"10,829"
Disney Cruise Line,DISNEY MAGIC,3/6/2004,Port Canaveral           ,Eastern Caribbean,7,"2,620","1,754",3,1,2004,"18,340"
Princess Cruises,GOLDEN PRINCESS,3/6/2004,Fort Lauderdale      ,Eastern Caribbean,7,"2,734","2,600",3,1,2004,"19,138"
Norwegian Cruise Line,NORWEGIAN WIND,3/6/2004,Miami                ,Western Caribbean,7,"1,922","1,748",3,1,2004,"13,454"
Holland America Line,RYNDAM,3/6/2004,San Diego           ,Mexico (Pacific),7,"1,131","1,266",3,1,2004,"7,917"
Norwegian Cruise Line,NORWEGIAN SEA,3/6/2004,Houston             ,Western Caribbean,7,"1,679","1,518",3,1,2004,"11,753"
Cunard Line,QUEEN MARY 2,3/6/2004,Fort Lauderdale      ,Southern Caribbean,10,"2,511","2,620",3,1,2004,"25,110"
Norwegian Cruise Line,NORWEGIAN MAJESTY,3/6/2004,Charleston          ,Western Caribbean,7,"1,766","1,462",3,1,2004,"12,362"
Holland America Line,ZAANDAM,3/6/2004,Port Canaveral           ,Western Caribbean,7,"1,347","1,440",3,1,2004,"9,429"
Celebrity Cruise Line,CELEBRITY CENTURY,3/6/2004,Fort Lauderdale      ,Eastern Caribbean,7,"1,896","1,750",3,1,2004,"13,272"
Carnival Cruise Line,CARNIVAL MIRACLE,3/6/2004,Jacksonville         ,Western Caribbean,6,"2,055","2,124",3,1,2004,"12,330"
Royal Caribbean International,EXPLORER OF THE SEAS,3/6/2004,Miami                ,Eastern Caribbean,7,"3,396","3,114",3,1,2004,"23,772"
Princess Cruises,PACIFIC DAWN,3/6/2004,Los Angeles         ,Hawaii,15,"1,580","1,590",3,1,2004,"23,700"
Carnival Cruise Line,CARNIVAL IMAGINATION,3/6/2004,Miami                ,Western Caribbean,5,"2,292","2,052",3,1,2004,"11,460"
Carnival Cruise Line,CARNIVAL SENSATION,3/6/2004,Tampa                ,Western Caribbean,5,"2,362","2,052",3,1,2004,"11,810"
Holland America Line,ZUIDERDAM,3/6/2004,Fort Lauderdale      ,Eastern Caribbean,7,"1,811","1,848",3,1,2004,"12,677"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,3/6/2004,Fort Lauderdale      ,Western Caribbean,5,"2,114","2,250",3,1,2004,"10,570"
Celebrity Cruise Line,CELEBRITY CONSTELLATION,3/6/2004,San Juan             ,Southern Caribbean,7,"2,033","1,950",3,1,2004,"14,231"
Carnival Cruise Line,CARNIVAL SPIRIT,3/6/2004,Miami                ,Southern Caribbean,8,"2,187","2,124",3,1,2004,"17,496"
Royal Caribbean International,NAVIGATOR OF THE SEAS,3/6/2004,Miami                ,Western Caribbean,7,"3,040","3,114",3,1,2004,"21,280"
Seabourn Cruise Line,SEABOURN LEGEND,3/6/2004,Charlotte Amalie,Eastern Caribbean,7,205,208,3,1,2004,"1,435"
Royal Caribbean International,SERENADE OF THE SEAS,3/6/2004,San Juan             ,Southern Caribbean,7,"2,153","2,100",3,1,2004,"15,071"
Royal Caribbean International,SPLENDOUR OF THE SEAS,3/6/2004,Galveston         ,Western Caribbean,5,"2,037","1,804",3,1,2004,"10,185"
Royal Caribbean International,EMPRESS,3/6/2004,Tampa                ,Western Caribbean,7,"1,678","1,600",3,1,2004,"11,746"
Windstar Cruises,WIND SPIRIT,3/6/2004,Charlotte Amalie,Eastern Caribbean,7,144,148,3,1,2004,"1,008"
Regent Seven Seas Cruises,RADISSON DIAMOND,3/7/2004,San Juan             ,Eastern Caribbean,4,279,350,3,1,2004,"1,116"
Costa Cruise Line,COSTA MEDITERRANEA,3/7/2004,Fort Lauderdale      ,Western Caribbean,7,"2,071","2,114",3,1,2004,"14,497"
Norwegian Cruise Line,NORWEGIAN DREAM,3/7/2004,New Orleans          ,Western Caribbean,7,"1,856","1,748",3,1,2004,"12,992"
Carnival Cruise Line,CARNIVAL CONQUEST,3/7/2004,New Orleans,Western Caribbean,7,"3,222","2,974",3,1,2004,"22,554"
Celebrity Cruise Line,CELEBRITY MILLENNIUM,3/7/2004,Fort Lauderdale      ,Eastern Caribbean,7,"2,141","1,950",3,1,2004,"14,987"
Princess Cruises,GRAND PRINCESS,3/7/2004,Fort Lauderdale      ,Western Caribbean,7,"2,761","2,600",3,1,2004,"19,327"
Carnival Cruise Line,CARNIVAL FANTASY,3/7/2004,Port Canaveral           ,Bahamas,4,"2,466","2,052",3,1,2004,"9,864"
Disney Cruise Line,DISNEY WONDER,3/7/2004,Port Canaveral           ,Bahamas,4,"2,712","1,754",3,1,2004,"10,848"
Norwegian Cruise Line,NORWEGIAN SUN,3/7/2004,Miami                ,Western Caribbean,7,"2,221","2,000",3,1,2004,"15,547"
Royal Caribbean International,ADVENTURE OF THE SEAS,3/7/2004,San Juan             ,Southern Caribbean,7,"3,265","3,114",3,1,2004,"22,855"
Holland America Line,OOSTERDAM,3/7/2004,Fort Lauderdale      ,Western Caribbean,7,"1,695","1,848",3,1,2004,"11,865"
Carnival Cruise Line,CARNIVAL ELATION,3/7/2004,Galveston         ,Western Caribbean,7,"2,348","2,052",3,1,2004,"16,436"
Carnival Cruise Line,CARNIVAL INSPIRATION,3/7/2004,Tampa                ,Western Caribbean,7,"2,384","2,052",3,1,2004,"16,688"
Norwegian Cruise Line,NORWEGIAN DAWN,3/7/2004,New York            ,Eastern Caribbean,7,"2,486","2,240",3,1,2004,"17,402"
Carnival Cruise Line,CARNIVAL PARADISE,3/7/2004,Miami                ,Western Caribbean,7,"2,287","2,052",3,1,2004,"16,009"
Carnival Cruise Line,CARNIVAL PRIDE,3/7/2004,Long Beach,Mexico (Pacific),7,"2,365","2,124",3,1,2004,"16,555"
Norwegian Cruise Line,NORWEGIAN SKY,3/7/2004,San Juan             ,Southern Caribbean,7,"1,848","2,002",3,1,2004,"12,936"
Norwegian Cruise Line,NORWEGIAN STAR,3/7/2004,Honolulu          ,Hawaii,7,"1,982","2,240",3,1,2004,"13,874"
Princess Cruises,DAWN PRINCESS,3/7/2004,San Juan             ,Southern Caribbean,7,"1,963","1,950",3,1,2004,"13,741"
Carnival Cruise Line,CARNIVAL VICTORY,3/7/2004,Miami                ,Eastern Caribbean,7,"2,983","2,758",3,1,2004,"20,881"
Costa Cruise Line,COSTA ATLANTICA,3/7/2004,Fort Lauderdale      ,Eastern Caribbean,7,"2,094","2,114",3,1,2004,"14,658"
Carnival Cruise Line,CARNIVAL DESTINY,3/7/2004,San Juan,Southern Caribbean,7,"2,733","2,642",3,1,2004,"19,131"
Royal Caribbean International,RHAPSODY OF THE SEAS,3/7/2004,Galveston         ,Western Caribbean,7,"2,332","2,000",3,1,2004,"16,324"
SeaDream Yacht Club,SEADREAM I,3/7/2004,San Juan,Southern Caribbean,5,78,110,3,1,2004,390
Royal Caribbean International,RADIANCE OF THE SEAS,3/7/2004,Fort Lauderdale      ,Western Caribbean,7,"2,257","2,100",3,1,2004,"15,799"
Windstar Cruises,WIND SURF,3/7/2004,Charlotte Amalie,Eastern Caribbean,7,210,308,3,1,2004,"1,470"
Royal Caribbean International,VOYAGER OF THE SEAS,3/7/2004,Miami                ,Western Caribbean,7,"3,366","3,114",3,1,2004,"23,562"
Royal Caribbean International,VISION OF THE SEAS,3/7/2004,Los Angeles         ,Mexico (Pacific),7,"1,874","2,000",3,1,2004,"13,118"
Royal Caribbean International,MARINER OF THE SEAS,3/7/2004,Port Canaveral           ,Western Caribbean,7,"3,455","3,114",3,1,2004,"24,185"
Carnival Cruise Line,CARNIVAL ECSTASY,3/8/2004,Long Beach,Mexico (Pacific),4,"2,234","2,052",3,1,2004,"8,936"
Princess Cruises,ROYAL PRINCESS,3/8/2004,Valparaiso,Trans-Panama Canal,17,"1,155",710,3,1,2004,"19,635"
Royal Caribbean International,BRILLIANCE OF THE SEAS,3/8/2004,Miami                ,Southern Caribbean,11,"2,204","2,100",3,1,2004,"24,244"
Carnival Cruise Line,CARNIVAL FASCINATION,3/8/2004,Miami                ,Western Caribbean,4,"2,404","2,052",3,1,2004,"9,616"
Carnival Cruise Line,GRAND CELEBRATION,3/8/2004,Galveston         ,Western Caribbean,5,"1,828","1,486",3,1,2004,"9,140"
Royal Caribbean International,MAJESTY OF THE SEAS,3/8/2004,Miami                ,Bahamas,4,"2,495","2,354",3,1,2004,"9,980"
Carnival Cruise Line,HOLIDAY,3/8/2004,New Orleans          ,Western Caribbean,5,"1,688","1,452",3,1,2004,"8,440"
Royal Caribbean International,SOVEREIGN OF THE SEAS,3/8/2004,Port Canaveral           ,Bahamas,4,"2,667","2,276",3,1,2004,"10,668"
Royal Caribbean International,MONARCH OF THE SEAS,3/8/2004,Los Angeles         ,Western Caribbean,4,"2,426","2,354",3,1,2004,"9,704"
Regent Seven Seas Cruises,SEVEN SEAS MARINER,3/9/2004,Los Angeles,Mexico (Pacific),10,550,700,3,1,2004,"5,500"
Silversea Cruises,SILVER WIND,3/9/2004,San Diego,Mexico (Pacific),10,262,296,3,1,2004,"2,620"
MSC Italian Cruises,MSC LIRICA,3/10/2004,Fort Lauderdale      ,Western Caribbean,11,"1,455","1,530",3,1,2004,"16,005"
Holland America Line,STATENDAM,3/10/2004,San Diego           ,Hawaii,10,"1,164","1,266",3,1,2004,"11,640"
Princess Cruises,SUN PRINCESS,3/10/2004,Fort Lauderdale      ,Southern Caribbean,10,"2,025","1,950",3,1,2004,"20,250"
Carnival Cruise Line,CARNIVAL FANTASY,3/11/2004,Port Canaveral           ,Bahamas,3,"2,481","2,052",3,1,2004,"7,443"
Disney Cruise Line,DISNEY WONDER,3/11/2004,Port Canaveral           ,Bahamas,3,"2,564","1,754",3,1,2004,"7,692"
Norwegian Cruise Line,NORWEGIAN CROWN,3/11/2004,Valparaiso,Trans-Panama Canal,14,989,"1,050",3,1,2004,"13,846"
Carnival Cruise Line,CARNIVAL IMAGINATION,3/11/2004,Miami                ,Western Caribbean,4,"2,121","2,052",3,1,2004,"8,484"
Carnival Cruise Line,CARNIVAL SENSATION,3/11/2004,Tampa                ,Western Caribbean,4,"2,294","2,052",3,1,2004,"9,176"
Regent Seven Seas Cruises,RADISSON DIAMOND,3/11/2004,San Juan             ,Eastern Caribbean,4,328,350,3,1,2004,"1,312"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,3/11/2004,Fort Lauderdale      ,Western Caribbean,4,"2,186","2,250",3,1,2004,"8,744"
Royal Caribbean International,SPLENDOUR OF THE SEAS,3/11/2004,Galveston         ,Western Caribbean,4,"2,033","1,804",3,1,2004,"8,132"
Celebrity Cruise Line,CELEBRITY GALAXY,3/12/2004,San Juan             ,Southern Caribbean,7,"1,917","1,870",3,1,2004,"13,419"
Princess Cruises,CORAL PRINCESS,3/12/2004,Fort Lauderdale      ,Western Caribbean,10,"1,990","1,974",3,1,2004,"19,900"
Carnival Cruise Line,CARNIVAL FASCINATION,3/12/2004,Miami                ,Bahamas,3,"2,398","2,052",3,1,2004,"7,194"
Celebrity Cruise Line,HORIZON,3/12/2004,Tampa                ,Western Caribbean,10,"1,382","1,354",3,1,2004,"13,820"
Royal Caribbean International,MAJESTY OF THE SEAS,3/12/2004,Miami                ,Bahamas,3,"2,624","2,354",3,1,2004,"7,872"
Cunard Line,SAGA RUBY,3/12/2004,Fort Lauderdale      ,Transatlantic,13,380,655,3,1,2004,"4,940"
Carnival Cruise Line,CARNIVAL ECSTASY,3/12/2004,Long Beach,Mexico (Pacific),3,"2,377","2,052",3,1,2004,"7,131"
Carnival Cruise Line,CARNIVAL LEGEND,3/12/2004,Fort Lauderdale,Southern Caribbean,8,"2,386","2,124",3,1,2004,"19,088"
Carnival Cruise Line,CARNIVAL MIRACLE,3/12/2004,Jacksonville         ,Bahamas,3,"2,281","2,124",3,1,2004,"6,843"
SeaDream Yacht Club,SEADREAM I,3/12/2004,San Juan,Southern Caribbean,4,61,110,3,1,2004,244
Royal Caribbean International,MONARCH OF THE SEAS,3/12/2004,Los Angeles         ,Western Caribbean,3,"2,546","2,354",3,1,2004,"7,638"
Royal Caribbean International,SOVEREIGN OF THE SEAS,3/12/2004,Port Canaveral           ,Bahamas,3,"2,702","2,276",3,1,2004,"8,106"
SeaDream Yacht Club,SEADREAM II,3/12/2004,St. John's (AB),Southern Caribbean,8,53,110,3,1,2004,424
Carnival Cruise Line,GRAND CELEBRATION,3/13/2004,Galveston         ,Western Caribbean,5,"1,872","1,486",3,1,2004,"9,360"
Holland America Line,ROTTERDAM,3/13/2004,Fort Lauderdale      ,Western Caribbean,10,"1,151","1,316",3,1,2004,"11,510"
Celebrity Cruise Line,CELEBRITY MERCURY,3/13/2004,San Francisco       ,Mexico (Pacific),8,"1,934","1,870",3,1,2004,"15,472"
Disney Cruise Line,DISNEY MAGIC,3/13/2004,Port Canaveral           ,Western Caribbean,7,"2,693","1,754",3,1,2004,"18,851"
Princess Cruises,GOLDEN PRINCESS,3/13/2004,Fort Lauderdale      ,Eastern Caribbean,7,"2,820","2,600",3,1,2004,"19,740"
Carnival Cruise Line,CARNIVAL TRIUMPH,3/13/2004,Miami                ,Eastern Caribbean,7,"3,170","2,758",3,1,2004,"22,190"
Royal Caribbean International,EXPLORER OF THE SEAS,3/13/2004,Miami                ,Western Caribbean,7,"3,485","3,114",3,1,2004,"24,395"
Carnival Cruise Line,CARNIVAL GLORY,3/13/2004,Port Canaveral,Western Caribbean,7,"3,286","2,974",3,1,2004,"23,002"
Holland America Line,ZUIDERDAM,3/13/2004,Fort Lauderdale      ,Eastern Caribbean,7,"1,945","1,848",3,1,2004,"13,615"
Regent Seven Seas Cruises,SEVEN SEAS NAVIGATOR,3/13/2004,Fort Lauderdale,Western Caribbean,7,459,490,3,1,2004,"3,213"
Princess Cruises,DIAMOND PRINCESS,3/13/2004,Long Beach,Mexico (Pacific),7,"2,837","2,670",3,1,2004,"19,859"
Celebrity Cruise Line,CELEBRITY CONSTELLATION,3/13/2004,San Juan             ,Southern Caribbean,7,"2,115","1,950",3,1,2004,"14,805"
Holland America Line,MAASDAM,3/13/2004,Norfolk              ,Eastern Caribbean,10,"1,111","1,266",3,1,2004,"11,110"
Holland America Line,ZAANDAM,3/13/2004,Port Canaveral           ,Eastern Caribbean,7,"1,542","1,440",3,1,2004,"10,794"
Norwegian Cruise Line,NORWEGIAN SEA,3/13/2004,Houston             ,Western Caribbean,7,"1,719","1,518",3,1,2004,"12,033"
Norwegian Cruise Line,NORWEGIAN MAJESTY,3/13/2004,Charleston          ,Western Caribbean,7,"1,693","1,462",3,1,2004,"11,851"
Norwegian Cruise Line,NORWEGIAN WIND,3/13/2004,Miami                ,Western Caribbean,7,"1,974","1,748",3,1,2004,"13,818"
Royal Caribbean International,GRANDEUR OF THE SEAS,3/13/2004,New Orleans          ,Western Caribbean,7,"2,330","1,950",3,1,2004,"16,310"
Carnival Cruise Line,JUBILEE,3/13/2004,San Juan             ,Southern Caribbean,7,"1,556","1,486",3,1,2004,"10,892"
Carnival Cruise Line,HOLIDAY,3/13/2004,New Orleans          ,Western Caribbean,5,"1,721","1,452",3,1,2004,"8,605"
Celebrity Cruise Line,CELEBRITY CENTURY,3/13/2004,Fort Lauderdale      ,Western Caribbean,7,"1,950","1,750",3,1,2004,"13,650"
Holland America Line,RYNDAM,3/13/2004,San Diego           ,Mexico (Pacific),7,"1,338","1,266",3,1,2004,"9,366"
Holland America Line,VEENDAM,3/13/2004,Tampa                ,Western Caribbean,7,"1,408","1,266",3,1,2004,"9,856"
Royal Caribbean International,NAVIGATOR OF THE SEAS,3/13/2004,Miami                ,Eastern Caribbean,7,"3,540","3,114",3,1,2004,"24,780"
Royal Caribbean International,SERENADE OF THE SEAS,3/13/2004,San Juan             ,Southern Caribbean,7,"2,341","2,100",3,1,2004,"16,387"
Windstar Cruises,WIND SPIRIT,3/13/2004,Charlotte Amalie,Eastern Caribbean,7,110,148,3,1,2004,770
Royal Caribbean International,EMPRESS,3/13/2004,Tampa                ,Western Caribbean,7,"1,728","1,600",3,1,2004,"12,096"
Seabourn Cruise Line,SEABOURN LEGEND,3/13/2004,Charlotte Amalie,Southern Caribbean,7,180,208,3,1,2004,"1,260"
Carnival Cruise Line,CARNIVAL FANTASY,3/14/2004,Port Canaveral           ,Bahamas,4,"2,529","2,052",3,1,2004,"10,116"
Carnival Cruise Line,CARNIVAL PRIDE,3/14/2004,Long Beach,Mexico (Pacific),7,"2,548","2,124",3,1,2004,"17,836"
Norwegian Cruise Line,NORWEGIAN DAWN,3/14/2004,New York            ,Eastern Caribbean,7,"2,628","2,240",3,1,2004,"18,396"
Celebrity Cruise Line,CELEBRITY INFINITY,3/14/2004,Valparaiso,Trans-Panama Canal,14,"1,891","2,046",3,1,2004,"26,474"
Costa Cruise Line,COSTA MEDITERRANEA,3/14/2004,Fort Lauderdale      ,Eastern Caribbean,7,"2,262","2,114",3,1,2004,"15,834"
Norwegian Cruise Line,NORWEGIAN STAR,3/14/2004,Honolulu          ,Hawaii,7,"2,411","2,240",3,1,2004,"16,877"
Norwegian Cruise Line,NORWEGIAN SKY,3/14/2004,San Juan             ,Southern Caribbean,7,"1,802","2,002",3,1,2004,"12,614"
Carnival Cruise Line,CARNIVAL INSPIRATION,3/14/2004,Tampa                ,Western Caribbean,7,"2,504","2,052",3,1,2004,"17,528"
Carnival Cruise Line,CARNIVAL SPIRIT,3/14/2004,Miami                ,Western Caribbean,8,"2,335","2,124",3,1,2004,"18,680"
Disney Cruise Line,DISNEY WONDER,3/14/2004,Port Canaveral           ,Bahamas,4,"2,717","1,754",3,1,2004,"10,868"
Princess Cruises,GRAND PRINCESS,3/14/2004,Fort Lauderdale      ,Western Caribbean,7,"2,819","2,600",3,1,2004,"19,733"
Royal Caribbean International,LEGEND OF THE SEAS,3/14/2004,San Diego           ,Hawaii,11,"1,739","1,804",3,1,2004,"19,129"
Norwegian Cruise Line,NORWEGIAN SUN,3/14/2004,Miami                ,Western Caribbean,7,"2,136","2,000",3,1,2004,"14,952"
Royal Caribbean International,ADVENTURE OF THE SEAS,3/14/2004,San Juan             ,Southern Caribbean,7,"3,395","3,114",3,1,2004,"23,765"
Princess Cruises,DAWN PRINCESS,3/14/2004,San Juan             ,Southern Caribbean,7,"2,027","1,950",3,1,2004,"14,189"
Celebrity Cruise Line,ZENITH,3/14/2004,Jacksonville         ,Southern Caribbean,14,"1,307","1,374",3,1,2004,"18,298"
Holland America Line,OOSTERDAM,3/14/2004,Fort Lauderdale      ,Eastern Caribbean,7,"1,802","1,848",3,1,2004,"12,614"
Holland America Line,NOORDAM,3/14/2004,Tampa                ,Southern Caribbean,14,"1,010","1,214",3,1,2004,"14,140"
Carnival Cruise Line,CARNIVAL ELATION,3/14/2004,Galveston         ,Western Caribbean,7,"2,542","2,052",3,1,2004,"17,794"
Celebrity Cruise Line,CELEBRITY MILLENNIUM,3/14/2004,Fort Lauderdale      ,Eastern Caribbean,7,"2,331","1,950",3,1,2004,"16,317"
Norwegian Cruise Line,NORWEGIAN DREAM,3/14/2004,New Orleans          ,Western Caribbean,8,"1,852","1,748",3,1,2004,"14,816"
Carnival Cruise Line,CARNIVAL DESTINY,3/14/2004,San Juan,Southern Caribbean,7,"2,860","2,642",3,1,2004,"20,020"
Carnival Cruise Line,CARNIVAL CONQUEST,3/14/2004,New Orleans,Western Caribbean,7,"3,520","2,974",3,1,2004,"24,640"
