"North American Cruises,  January 1, 2004 - March 31, 2012",,,,,,,,,,,
Cruise Line,Vessel Name,Sail Date,Departure Port,Destination,Nights,Passengers,Normal Capacity,Month,Quarter,Year,Passengers Nights
Carnival Cruise Line,HOLIDAY,1/22/2004,New Orleans,Western Caribbean,4,"1,704","1,452",1,1,2004,"6,816"
Disney Cruise Line,DISNEY WONDER,1/22/2004,Port Canaveral,Bahamas,3,"2,237","1,754",1,1,2004,"6,711"
Cunard Line,SAGA RUBY,1/22/2004,Fort Lauderdale,South America,15,460,655,1,1,2004,"6,900"
Carnival Cruise Line,GRAND CELEBRATION,1/22/2004,Galveston,Western Caribbean,4,"1,566","1,486",1,1,2004,"6,264"
Princess Cruises,CORAL PRINCESS,1/22/2004,Fort Lauderdale,Western Caribbean,10,"1,991","1,974",1,1,2004,"19,910"
Royal Caribbean International,MAJESTY OF THE SEAS,1/23/2004,Miami,Bahamas,3,"1,243","2,354",1,1,2004,"3,729"
Celebrity Cruise Line,CELEBRITY GALAXY,1/23/2004,San Juan,Southern Caribbean,7,"1,887","1,870",1,1,2004,"13,209"
Holland America Line,STATENDAM,1/23/2004,San Diego   ,Trans-Panama Canal,16,"1,224","1,266",1,1,2004,"19,584"
Holland America Line,ROTTERDAM,1/23/2004,Fort Lauderdale      ,Western Caribbean,10,"1,260","1,316",1,1,2004,"12,600"
Carnival Cruise Line,CARNIVAL ECSTASY,1/23/2004,Long Beach,Mexico (Pacific),3,"2,263","2,052",1,1,2004,"6,789"
Celebrity Cruise Line,CELEBRITY SUMMIT,1/23/2004,Fort Lauderdale      ,Southern Caribbean,10,"1,942","1,950",1,1,2004,"19,420"
Carnival Cruise Line,CARNIVAL FASCINATION,1/23/2004,Miami,Bahamas,3,"2,207","2,052",1,1,2004,"6,621"
Royal Caribbean International,MONARCH OF THE SEAS,1/23/2004,Los Angeles,Mexico (Pacific),3,"2,102","2,354",1,1,2004,"6,306"
Royal Caribbean International,SOVEREIGN OF THE SEAS,1/23/2004,Port Canaveral ,Bahamas,3,"2,369","2,276",1,1,2004,"7,107"
Celebrity Cruise Line,CELEBRITY CONSTELLATION,1/24/2004,San Juan,Southern Caribbean,7,"2,014","1,950",1,1,2004,"14,098"
Holland America Line,ZAANDAM,1/24/2004,Port Canaveral ,Western Caribbean,7,"1,445","1,440",1,1,2004,"10,115"
Holland America Line,RYNDAM,1/24/2004,San Diego,Mexico (Pacific),7,"1,239","1,266",1,1,2004,"8,673"
Princess Cruises,GOLDEN PRINCESS,1/24/2004,Fort Lauderdale,Eastern Caribbean,7,"2,671","2,600",1,1,2004,"18,697"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,1/24/2004,Fort Lauderdale,Western Caribbean,5,"2,065","2,250",1,1,2004,"10,325"
Carnival Cruise Line,CARNIVAL TRIUMPH,1/24/2004,Miami,Western Caribbean,7,"2,919","2,758",1,1,2004,"20,433"
Crystal Cruises,CRYSTAL HARMONY,1/24/2004,Honolulu,Hawaii,10,422,940,1,1,2004,"4,220"
Norwegian Cruise Line,NORWEGIAN WIND,1/24/2004,Miami   ,Western Caribbean,7,"1,757","1,748",1,1,2004,"12,299"
Disney Cruise Line,DISNEY MAGIC,1/24/2004,Port Canaveral,Eastern Caribbean,7,"2,642","1,754",1,1,2004,"18,494"
Carnival Cruise Line,CARNIVAL GLORY,1/24/2004,Port Canaveral,Eastern Caribbean,7,"3,087","2,974",1,1,2004,"21,609"
Carnival Cruise Line,JUBILEE,1/24/2004,San Juan,Southern Caribbean,7,"1,555","1,486",1,1,2004,"10,885"
Norwegian Cruise Line,NORWEGIAN MAJESTY,1/24/2004,Charleston   ,Western Caribbean,7,"1,464","1,462",1,1,2004,"10,248"
Norwegian Cruise Line,NORWEGIAN SEA,1/24/2004,Houston   ,Western Caribbean,7,"1,561","1,518",1,1,2004,"10,927"
Royal Caribbean International,EXPLORER OF THE SEAS,1/24/2004,Miami,Eastern Caribbean,7,"3,295","3,114",1,1,2004,"23,065"
Carnival Cruise Line,CARNIVAL IMAGINATION,1/24/2004,Miami,Western Caribbean,5,"2,180","2,052",1,1,2004,"10,900"
Royal Caribbean International,GRANDEUR OF THE SEAS,1/24/2004,New Orleans,Western Caribbean,7,"2,020","1,950",1,1,2004,"14,140"
Holland America Line,ZUIDERDAM,1/24/2004,Fort Lauderdale      ,Eastern Caribbean,7,"1,830","1,848",1,1,2004,"12,810"
Celebrity Cruise Line,CELEBRITY CENTURY,1/24/2004,Fort Lauderdale,Eastern Caribbean,7,"1,744","1,750",1,1,2004,"12,208"
Holland America Line,VEENDAM,1/24/2004,Tampa,Western Caribbean,7,"1,285","1,266",1,1,2004,"8,995"
Carnival Cruise Line,CARNIVAL LEGEND,1/24/2004,Fort Lauderdale,Southern Caribbean,8,"2,207","2,124",1,1,2004,"17,656"
Windstar Cruises,WIND SPIRIT,1/24/2004,Charlotte Amalie,Eastern Caribbean,7,128,148,1,1,2004,896
Royal Caribbean International,EMPRESS,1/24/2004,Tampa,Western Caribbean,7,"1,591","1,600",1,1,2004,"11,137"
Royal Caribbean International,SERENADE OF THE SEAS,1/24/2004,San Juan   ,Southern Caribbean,7,"2,201","2,100",1,1,2004,"15,407"
Royal Caribbean International,NAVIGATOR OF THE SEAS,1/24/2004,Miami,Western Caribbean,7,"3,331","3,114",1,1,2004,"23,317"
Costa Cruise Line,COSTA MEDITERRANEA,1/25/2004,Fort Lauderdale,Western Caribbean,7,"1,739","2,114",1,1,2004,"12,173"
Norwegian Cruise Line,NORWEGIAN DAWN,1/25/2004,New York  ,Southern Caribbean,11,"2,342","2,240",1,1,2004,"25,762"
Celebrity Cruise Line,CELEBRITY MILLENNIUM,1/25/2004,Fort Lauderdale,Eastern Caribbean,7,"2,034","1,950",1,1,2004,"14,238"
Carnival Cruise Line,CARNIVAL FANTASY,1/25/2004,Port Canaveral,Bahamas,4,"2,195","2,052",1,1,2004,"8,780"
Norwegian Cruise Line,NORWEGIAN SKY,1/25/2004,San Juan   ,Southern Caribbean,7,"1,925","2,002",1,1,2004,"13,475"
Royal Caribbean International,ADVENTURE OF THE SEAS,1/25/2004,San Juan,Southern Caribbean,7,"3,138","3,114",1,1,2004,"21,966"
Carnival Cruise Line,CARNIVAL DESTINY,1/25/2004,San Juan,Southern Caribbean,7,"2,695","2,642",1,1,2004,"18,865"
Carnival Cruise Line,CARNIVAL PRIDE,1/25/2004,Long Beach,Mexico (Pacific),7,"2,259","2,124",1,1,2004,"15,813"
Carnival Cruise Line,CARNIVAL VICTORY,1/25/2004,Miami,Eastern Caribbean,7,"2,730","2,758",1,1,2004,"19,110"
Holland America Line,VOLENDAM,1/25/2004,Fort Lauderdale      ,Western Caribbean,10,"1,234","1,400",1,1,2004,"12,340"
Holland America Line,OOSTERDAM,1/25/2004,Fort Lauderdale      ,Western Caribbean,7,"1,812","1,848",1,1,2004,"12,684"
Norwegian Cruise Line,NORWEGIAN DREAM,1/25/2004,New Orleans  ,Western Caribbean,7,"1,713","1,748",1,1,2004,"11,991"
Princess Cruises,DAWN PRINCESS,1/25/2004,San Juan,Southern Caribbean,7,"1,932","1,950",1,1,2004,"13,524"
Costa Cruise Line,COSTA ATLANTICA,1/25/2004,Fort Lauderdale,Eastern Caribbean,7,"2,001","2,114",1,1,2004,"14,007"
Princess Cruises,ISLAND PRINCESS,1/25/2004,Fort Lauderdale,Western Caribbean,10,"1,963","1,950",1,1,2004,"19,630"
Carnival Cruise Line,CARNIVAL INSPIRATION,1/25/2004,Tampa,Western Caribbean,7,"2,150","2,052",1,1,2004,"15,050"
Carnival Cruise Line,CARNIVAL PARADISE,1/25/2004,Miami   ,Western Caribbean,7,"2,170","2,052",1,1,2004,"15,190"
Disney Cruise Line,DISNEY WONDER,1/25/2004,Port Canaveral,Bahamas,4,"2,443","1,754",1,1,2004,"9,772"
Princess Cruises,GRAND PRINCESS,1/25/2004,Fort Lauderdale,Western Caribbean,7,"2,651","2,600",1,1,2004,"18,557"
Carnival Cruise Line,CARNIVAL SENSATION,1/25/2004,Tampa,Western Caribbean,5,"2,285","2,052",1,1,2004,"11,425"
Norwegian Cruise Line,NORWEGIAN STAR,1/25/2004,Honolulu   ,Hawaii,7,"2,312","2,240",1,1,2004,"16,184"
Norwegian Cruise Line,NORWEGIAN SUN,1/25/2004,Miami   ,Western Caribbean,7,"2,113","2,000",1,1,2004,"14,791"
Carnival Cruise Line,CARNIVAL ELATION,1/25/2004,Galveston,Western Caribbean,7,"2,105","2,052",1,1,2004,"14,735"
Carnival Cruise Line,CARNIVAL CONQUEST,1/25/2004,New Orleans,Western Caribbean,7,"3,076","2,974",1,1,2004,"21,532"
Royal Caribbean International,RADIANCE OF THE SEAS,1/25/2004,Fort Lauderdale      ,Western Caribbean,7,"2,126","2,100",1,1,2004,"14,882"
Royal Caribbean International,RHAPSODY OF THE SEAS,1/25/2004,Galveston ,Western Caribbean,7,"2,092","2,000",1,1,2004,"14,644"
Royal Caribbean International,MARINER OF THE SEAS,1/25/2004,Port Canaveral,Western Caribbean,7,"3,327","3,114",1,1,2004,"23,289"
SeaDream Yacht Club,SEADREAM I,1/25/2004,Charlotte Amalie,Southern Caribbean,7,74,110,1,1,2004,518
Royal Caribbean International,VISION OF THE SEAS,1/25/2004,Los Angeles   ,Mexico (Pacific),7,"2,083","2,000",1,1,2004,"14,581"
Windstar Cruises,WIND SURF,1/25/2004,San Juan,Eastern Caribbean,7,154,308,1,1,2004,"1,078"
SeaDream Yacht Club,SEADREAM II,1/25/2004,Charlotte Amalie,Southern Caribbean,7,85,110,1,1,2004,595
Royal Caribbean International,VOYAGER OF THE SEAS,1/25/2004,Miami   ,Western Caribbean,7,"3,282","3,114",1,1,2004,"22,974"
Carnival Cruise Line,CARNIVAL ECSTASY,1/26/2004,Long Beach,Mexico (Pacific),4,"2,177","2,052",1,1,2004,"8,708"
Carnival Cruise Line,CARNIVAL SPIRIT,1/26/2004,Miami,Western Caribbean,8,"2,144","2,124",1,1,2004,"17,152"
Carnival Cruise Line,GRAND CELEBRATION,1/26/2004,Galveston,Western Caribbean,5,"1,539","1,486",1,1,2004,"7,695"
Carnival Cruise Line,HOLIDAY,1/26/2004,New Orleans,Western Caribbean,5,"1,522","1,452",1,1,2004,"7,610"
Royal Caribbean International,MAJESTY OF THE SEAS,1/26/2004,Miami,Bahamas,4,"2,383","2,354",1,1,2004,"9,532"
Royal Caribbean International,BRILLIANCE OF THE SEAS,1/26/2004,Miami,Southern Caribbean,11,"2,121","2,100",1,1,2004,"23,331"
MSC Italian Cruises,MSC LIRICA,1/26/2004,Fort Lauderdale,Western Caribbean,11,"1,591","1,530",1,1,2004,"17,501"
Carnival Cruise Line,CARNIVAL FASCINATION,1/26/2004,Miami,Western Caribbean,4,"2,171","2,052",1,1,2004,"8,684"
Royal Caribbean International,MONARCH OF THE SEAS,1/26/2004,Los Angeles,Mexico (Pacific),4,"1,975","2,354",1,1,2004,"7,900"
Royal Caribbean International,SOVEREIGN OF THE SEAS,1/26/2004,Port Canaveral ,Bahamas,4,"2,351","2,276",1,1,2004,"9,404"
Royal Caribbean International,SPLENDOUR OF THE SEAS,1/26/2004,Galveston ,Western Caribbean,12,"1,809","1,804",1,1,2004,"21,708"
Regent Seven Seas Cruises,RADISSON DIAMOND,1/27/2004,San Juan,Southern Caribbean,7,323,350,1,1,2004,"2,261"
Regent Seven Seas Cruises,SEVEN SEAS NAVIGATOR,1/27/2004,San Juan,Eastern Caribbean,5,473,490,1,1,2004,"2,365"
Oceania Cruises,REGATTA,1/27/2004,Los Angeles,Mexico (Pacific),10,560,684,1,1,2004,"5,600"
